Topic,Count,Representation,Representative_Docs
-1,671,"['klima', 'klimaschutz', 'klimawandel', 'co2', 'mehr', 'müssen', 'thema', 'klimaziele', 'klimapolitik', 'energiewende', 'wichtig', 'klimakatastrophe']","['Da steht intelligenter Klima- und Umweltschutz sehr weit oben, aber auch immer wieder das Thema Bildung und das Thema Digitalisierung.', 'Leistungsphase 1 bedeutet Grundlagenermittlung, Leistungsphase 2 bedeutet Vorplanung, und da könnten schon Fehler gemacht worden sein, denke ich, dass man vielleicht für dieses besondere Gebäude, was besonders wichtig ist und hoffentlich besonders gut werden wird, irgendwann, und für die Wissenschaft, Klimaforschung, Geowissenschaften wichtig ist.', 'Stellen Sie sich doch einmal der Debatte, reden Sie mit den Fachleuten, denn das Klima braucht jetzt Handeln, das Klima kann nicht warten, bis die U5 vielleicht in 20 oder 30 Jahren fährt.']"
0,346,"['hamburg', 'hamburger', 'deutschland', 'klimaplan', 'klimaschutzgesetz', 'klimaschutz', 'hamburgs', 'stadt', 'klimaneutral', 'pariser', 'wirtschaft', 'klimaneutralität']","['Wenn das 1,5-Grad-Ziel des Pariser Klimaabkommens völkerrechtlich verbindlich und existenziell notwendig ist und sich Hamburg und der Senat zur Einhaltung des Abkommens bekennen, wenn der Hamburger Klimaplan in seiner Zielsetzung noch immer eine CO2-Einsparungslücke hat, selbst für das spärliche Ziel ""Klimaneutralität fast bis 2050"", wenn der BUND mit seiner Kritik richtig liegt, dass 1,7 Millionen Tonnen CO2-Einsparung aus dem Klimaplan nicht nachvollziehbar oder schöngerechnet sind, dann hat Rot-Grün, hat Hamburg ein Problem.', 'Ist Klimawandel in Hamburg nicht wichtig?', 'Wir wollen Klimaneutralität in Hamburg.']"
1,181,"['co2', 'tonnen', 'emissionen', '000', 'tonne', 'steuer', '40', '1990', 'euro', '100', 'reduktion', 'reduziert']","['Bis 2030 werden wir den CO2-Ausstoß um 70 Prozent gegenüber 1990 senken, bis zum Jahr 2045 wollen wir komplett CO2 neutral werden.', 'Bis 2030 müssen wir die CO2-Emissionen um 50 Prozent reduzieren.', 'Und auch hier werden wieder 100 000 Tonnen CO2 eingespart.']"
2,65,"['energiewende', 'energien', 'energieversorgung', 'erneuerbare', 'wärmepumpen', 'gewünschten', 'energie', 'erneuerbaren', 'fordern', 'klimaverträgliche', 'verbindliches', 'liest']","['Wir brauchen eine große Energiewende.', 'Agora Energiewende, eine große Beratungseinrichtung für erneuerbare Energien und die Energiewende, sieht die Bedeutung von elektrischen Wärmepumpen im Szenario 100 Prozent erneuerbare Energie bei über 60 Prozent des Wärmebedarfs.', 'Wir wollen die Energiewende, die Industrie will die Energiewende.']"
3,62,"['corona', 'klimakrise', 'krise', 'ukraine', 'herausforderungen', 'krieg', 'klimawandel', 'coronapandemie', 'gemeinsam', 'dringend', 'pandemie', 'herausforderung']","['Die Coronapandemie, der Angriff Russlands auf die Ukraine und die Folgen der Energie- und Gaskrise, die Inflation und natürlich die sich immer weiter verstärkende Klimakrise, die eine große soziale Dimension hat, haben die letzten Jahre bestimmt, und sie werden es auch weiterhin tun.', 'Gemeinsam meistern wir Corona- und Klimakrise.', 'Wir haben den Krieg in der Ukraine und dessen Folgen zu bewältigen, und dann kommt auch noch die Klimakrise.']"
4,59,"['reden', 'vielleicht', 'klimapolitik', 'klimawandel', 'finanzwelt', 'müssen', 'klima', 'klimaschutz', 'debatte', 'darüber', 'option', 'ordnungspolitik']","['Ich glaube, wir sollten die klimapolitischen Debatten in diesem Parlament ein bisschen ernster nehmen, und ich würde mir wünschen, dass künftig jede Partei, die hier zu diesen Themen ans Mikro tritt, vielleicht einmal wenigstens mit einem konkreten Vorschlag kommt, wie sie das angehen wollen würde.', 'Dann bin ich aber überrascht, dass bei der Frage, wie Ökonomie, Ökologie und Soziales, diese Trias, kombiniert werden müssen, ausgerechnet in der Klimapolitik jetzt erst einmal geschaut wird, wie Klimapolitik und marktwirtschaftliche Mechanismen vielleicht kombiniert werden können, und wenn danach Platz ist für das Soziale, ist das eine Option, und wenn Laschet deutlich weniger will, ist das auch eine Option.', 'Ich glaube, zwei Minuten Kurzdebatte reichen dafür nicht, und deswegen möchte die SPD-Fraktion zusammen mit den GRÜNEN diesen Antrag länger im Ausschuss debattieren, denn wir müssen uns fragen, wie wir es schaffen, dass die vielen jungen Menschen dieser Stadt, die Lust haben auf eine gute Ausbildung, auf einen guten Job, auf klimakonstruktive Jobs, auch in denen landen.']"
5,53,"['klimaschutz', 'wichtig', 'gemeinsam', 'ernst', 'sozialem', 'wichtiges', 'beteiligten', 'gesellschaftlichen', 'sozial', 'soziale', 'sozialer', 'deshalb']","['Und deshalb möchte ich an alle appellieren, die hier von sozialem Klimaschutz sprechen, an all jene appellieren, die das offen auch im Wahlkampf kommuniziert haben, dass sie das Soziale nicht nur irgendwie dazuschreiben, weil die Menschen das wollen, sondern es auch tatsächlich ernst meinen.', 'Wer es mit sozialem Klimaschutz ernst meint, von dem und von denen erwarte ich, dass wir in den nächsten Tagen gucken, wie wir eine Koalition hinbekommen, die die Ökonomie stärken will, die Ökologie stärken will und die das Ganze aber sozial verträglich machen möchte.', 'Wenn uns wirklich sozialer Klimaschutz wichtig ist, dann erwarte ich von allen Beteiligten, dass wir in den nächsten Tagen dazu kommen, eben nicht nur darüber zu reden, wie das irgendwie kombiniert wird, sondern dass gerade in der Frage Klimaschutz und Soziales die erste Schnittmenge getroffen wird.']"
6,48,"['klimakrise', 'klimawandel', 'menschengemachten', 'sommer', 'klimakatastrophe', 'erleben', 'klimawandels', 'jahr', 'negiert', '1971', 'wissen', 'auswirkungen']","['Der Kollege Walczak hat nicht geleugnet, dass es einen menschengemachten Klimawandel gibt.', 'Der Kollege Walczak hat nicht geleugnet, dass es einen menschengemachten Klimawandel gibt.', 'Die Klimakrise spitzt sich immer mehr zu, ein Extremwetterereignis nach dem anderen, jedes Jahr der neue heißeste Sommer, die Schere zwischen Arm und Reich wächst kontinuierlich, die Inflation treibt die Preise in die Höhe und lässt viel zu viele Menschen am Monatsende bangen, die Armutsquote steigt, und das Bundesfinanzministerium will den Sozialstaat aktuell noch mehr zusammenkürzen.']"
7,37,"['klimaplan', 'unterfinanziert', 'klimapolitisch', 'verfehlen', 'versorgungssicherheit', 'klimaschutz', 'klimapolitik', 'grad', 'wissen', 'klimagerechtigkeit', 'stadt', 'riskieren']","['Das ist klimapolitisch nicht begeisternd, aber wir müssen eben gucken, dass wir, während wir die klimapolitisch guten Punkte ausbauen, nicht die Versorgungssicherheit der Stadt gefährden.', 'Der bestehende Klimaplan bleibt unterfinanziert und wird dem 1,5-Grad-Ziel nicht gerecht.', 'Das wird dem Problem sicher nicht gerecht, denn der bestehende Klimaplan ist bereits jetzt unterfinanziert und wird so das Ziel der 1,5-Grad-Marke verfehlen.']"
8,36,"['euro', 'milliarden', 'milliarde', 'investieren', '000', 'investitionen', 'klimafonds', '750', 'haushaltsreste', 'schnellbahnausbau', '44', 'investiert']","['Insgesamt summiert sich das Budget für den Kampf gegen die Klimakrise auf 2 Milliarden Euro im Kernhaushalt, die zudem von über 4 Milliarden Euro im Bereich der öffentlichen Unternehmen flankiert werden, allein in diesem Haushaltsentwurf.', 'Beim Thema Klimaschutz, Herr Thering, Sie haben das gerade angesprochen, 2 Milliarden Euro Investition aus dem städtischen Haushalt, 4 Milliarden Euro Investition von öffentlichen Unternehmen, darüber hinaus mehrere Hundert Millionen Euro von privaten Unternehmen.', 'Und wir investieren 2 bis 3 Milliarden Euro in den Klimaschutz.']"
