Topic,Count,Representation,Representative_Docs
-1,1715,"['co2', 'klimaschutz', 'klima', 'nrw', 'energiewende', 'nordrhein', 'klimawandel', 'klimaschutzziele', 'deutschland', 'erreichen', 'klimaschutzgesetz', 'landesregierung']","['Aber da es den Klimawandel auch nicht gibt, sind Sie in 50 bis 100 Jahren immer noch gut dabei.', 'Den gibt es nämlich für das Erreichen der Klimaschutzziele 2030.', 'Wir wollen alle gemeinsam den CO2-Ausstoß in Nordrhein-Westfalen, in Deutschland, in Europa und auf der ganzen Welt senken.']"
0,217,"['kohleausstieg', 'kohleausstiegsgesetz', 'kohleausstiegs', 'strukturwandel', 'strukturstärkungsgesetz', 'kohlekommission', 'kommission', '2030', 'kompromiss', 'grundlage', 'konsens', 'entscheidung']","['Sorgen Sie für einen Kohleausstieg.', 'Wir brauchen endlich einen Kohleausstieg.', 'Dafür brauchen wir unter anderem einen Kohleausstieg.']"
1,207,"['klimawandel', 'klima', 'klimawandels', 'auswirkungen', 'klimakrise', 'erderwärmung', 'angekommen', 'klimakatastrophe', 'wetter', 'bedrohung', 'geändert', 'sommer']","['Wir erleben derzeit schon die Auswirkungen des Klimawandels bei einer Erderwärmung von 1,2 Grad im Vergleich zur vorindustriellen Zeit.', 'Ja, es gibt einen Klimawandel.', 'Der Klimawandel und die Folgen.']"
2,121,"['energiewende', 'menschen', 'ausbau', 'netzausbau', 'schaffen', 'zukünftig', 'bürger', 'bevölkerung', 'funktionierende', 'umweltverträglichkeit', 'energieminister', 'diskussion']","['Wir tun etwas für die Energiewende.', 'Dann schaffen wir auch das mit der Energiewende.', 'Doch weiter mit der Energiewende.']"
3,110,"['co2', 'emissionen', '2030', 'reduzieren', 'reduziert', 'weniger', 'tonnen', 'reduktion', 'einsparung', '2050', 'einsparungen', 'einsparen']","['Deswegen setzen wir im Klimaschutzgesetz 55 % CO2-Einsparung bis 2030 und Klimaneutralität bis 2050 um.', 'Die CO2-Emissionen sollen bis 2030 um 55 % im Vergleich zu 1990 reduziert werden.', 'Bereits im Jahr 2030 wollen wir den CO2 Ausstoß um 55 % reduziert haben und bis 2050 wollen wir zu 100 % klimaneutral sein.']"
4,94,"['verkehrswende', 'umfassende', 'städten', 'nahverkehr', 'debatte', 'brauchen', 'mobilitäts', 'breiter', 'weshalb', 'verdoppelung', 'weitestgehend', 'braucht']","['Die Frage ist also nicht, ob wir die Verkehrswende machen, sondern es geht darum, dass wir sie endlich machen.', 'Es ist ein Beitrag zu einer umfassenden Verkehrswende.', 'Das ist für eine umfassende Verkehrswende notwendig.']"
5,89,"['klimaschutz', 'schutz', 'wichtig', 'umwelt', 'wassernutzung', 'schützen', 'klima', 'handlungsbedarf', 'lebensgrundlagen', 'klimaschutzpaket', 'umweltschutz', 'klimabilanz']","['Das heißt also, wir möchten die Natur und die Umwelt bewahren und den Menschen schützen und ihm eine lebenswerte Umwelt bieten, ohne dass er von allen möglichen Leuten abgezockt wird, weil Sie hier die Angst vor irgendeiner Klimaänderung schüren, die der Mensch verursacht haben soll.', 'Die Mittel sollen für mehr Wasserschutz, den Schutz der Biodiversität, der Bodenfruchtbarkeit, der Bestäuber, der Humusschicht, des Klimas und ganz besonders für Tierwohlleistungen eingesetzt werden.', 'Zum Schutz und zur frühzeitigen Warnung der Bevölkerung sind daher die Optimierung der Hochwasserrisikomanagementplanung, die Schaffung neuer, an den Klimawandel angepasster Hochwasserkarten, die flächendeckende Erarbeitung von kommunalen und regionalen Starkregenkonzepten und die Stärkung der Kommunen und Kreise in diesem Bereich zwingend notwendig.']"
6,83,"['co2', 'steuer', 'euro', 'lenkungswirkung', 'einnahmen', '180', 'monaten', 'belastung', 'effekten', 'transportzeiten', 'mehrbelastung', 'kosten']","['Der CO2-Preis ist im Energiesektor lange Jahre bei 10 bis 20 Euro gewesen, jetzt liegt er bei 50 bis 60 Euro pro Tonne CO2 .', 'Die CO2-Steuer soll auf 180 Euro pro Tonne steigen.', 'Bei der CO2-Steuer bestimmt die Politik den Preis für den Ausstoß einer Tonne CO2 .']"
7,79,"['kommunen', 'stadtentwicklung', 'kommunalen', 'städte', 'kommune', 'klimafolgenanpassung', 'klimagerechter', 'kommunaler', 'klimaanpassungskonzepte', 'gemeinden', 'klimawandels', 'anpassung']","['Das sind doch konkrete Maßnahmen, um den kommunalen Klimaschutz zu fördern.', 'Im Bereich des Klimaschutzes fördern Städte, Gemeinden und Kreise eine nachhaltige Flächennutzung – ich erinnere nur an Ihre Entscheidung zum LEP –, eine umweltverträgliche Wasserversorgung und Abwasserbehandlung und eine effiziente Abfallund Ressourcenwirtschaft.', 'Im Bereich des Klimaschutzes fördern die Städte, Gemeinden und Kreise die nachhaltige Flächennutzung, eine umweltverträgliche Wasser- und Abwasserbehandlung, eine effiziente Abfall- und Ressourcenwirtschaft sowie eine nachhaltige Beschaffung.']"
8,65,"['nordrhein', 'westfalen', 'energiewende', 'europas', 'industriestandort', 'deutschen', 'klimafreundlichsten', 'deutschland', 'klimafreundliche', 'energieland', 'energie', 'geothermie']","['Aber auch hier gibt es die eine oder andere Leerstelle, wenn es darum geht, wo die Finanzierung zukünftig gesichert werden soll, wenn es darum geht, die Abgrenzung Richtung Agrarpolitik vorzunehmen, und wenn es darum geht, die Herausforderungen der Zukunft – die Digitalisierung sowie die Energiepolitik und die Klimapolitik habe ich schon genannt – für Nordrhein-Westfalen stärker zu beschreiben.', 'Aber auch hier gibt es die eine oder andere Leerstelle, wenn es darum geht, wo die Finanzierung zukünftig gesichert werden soll, wenn es darum geht, die Abgrenzung Richtung Agrarpolitik vorzunehmen, und wenn es darum geht, die Herausforderungen der Zukunft – die Digitalisierung sowie die Energiepolitik und die Klimapolitik habe ich schon genannt – für Nordrhein-Westfalen stärker zu beschreiben.', 'Nordrhein-Westfalen soll zum modernsten und klimafreundlichsten Energie- und Industriestandort Europas werden.']"
