Topic,Count,Representation,Representative_Docs
-1,422,"['klimaschutz', 'sachsen', 'klima', 'umwelt', 'ausschuss', 'energie', 'landwirtschaft', 'deutschland', 'klimaprogramm', 'energiewende', 'klimawandel', '2021']","['Das Präsidium schlägt Ihnen vor, den Entwurf „Fünftes Gesetz zur Änderung der Sächsischen Bauordnung“ an den Ausschuss für Regionalentwicklung – federführend – und an den Ausschuss für Energie, Klimaschutz, Umwelt und Landwirtschaft zu überweisen.', 'Es wird vorgeschlagen, die Entwürfe Gesetz über die Feststellung des Haushaltsplanes des Freistaates Sachsen für die Haushaltsjahre 2021 und 2022 (Haushaltsgesetz 2021/2022 – HG 2021/2022), Drucksache 7/4900, und Gesetz begleitender Regelungen zum Doppelhaushalt 2021/2022 (Haushaltsbegleitgesetz 2021/2022 – HBG 2021/2022), Drucksache 7/4901, jeweils an den Haushalts- und Finanzausschuss – federführend –, den Ausschuss für Inneres und Sport, den Ausschuss für Verfassung und Recht, Demokratie, Europa und Gleichstellung, den Ausschuss für Soziales und Gesellschaftlichen Zusammenhalt, den Ausschuss für Schule und Bildung, den Ausschuss für Wirtschaft, Arbeit und Verkehr, den Ausschuss für Wissenschaft, Hochschule, Medien, Kultur und Tourismus, den Ausschuss für Regionalentwicklung und den Ausschuss für Energie, Klimaschutz, Umwelt und Landwirtschaft zu überweisen.', 'Das Präsidium schlägt Ihnen vor, den Entwurf Gesetz zum Schutz des Bestandes öffentlicher Straßen, Wege und Plätze im Freistaat Sachsen an den Ausschuss für Wirtschaft, Arbeit und Verkehr – federführend –, an den Ausschuss für Regionalentwicklung, den Ausschuss für Wissenschaft, Hochschule, Medien, Kultur und Tourismus, den Ausschuss für Energie, Klimaschutz, Umwelt und Landwirtschaft und den Ausschuss für Inneres und Sport zu überweisen.']"
0,207,"['co2', 'steuer', 'wasserstoff', 'emissionen', 'kosten', 'abschaffung', 'kompensation', 'reduzieren', 'zusätzlich', 'gas', 'einnahmen', 'fuels']","['Sie wollen den CO2-Ausstoß reduzieren.', 'Die CO2-Emissionen sollen dadurch kompensiert werden, dass die Einnahmen aus der CO2-Kompensation in die Finanzierung von CO2-Maßnahmen fließen.', 'Die CO2-Emissionen sollen dadurch kompensiert werden, dass die Einnahmen aus der CO2-Kompensation in die Finanzierung von CO2-Maßnahmen fließen.']"
1,136,"['energiewende', 'energien', 'kernenergie', 'erneuerbare', 'wind', 'produzieren', 'müssen', 'kernkraft', 'weltklimarat', 'netz', 'höchsten', 'verkehrswende']","['Ihre Energiewende nämlich schon jetzt nicht.', 'Ihre Energiewende mal dort, wo Energiewende gewählt wird.', 'Deshalb ist es wichtig, einen Brennstoff zu finden, der durch erneuerbare Energien klimaneutral hergestellt werden kann, der diese dann auch speicherbar macht, wenn zu viel Strom im Netz ist, zu viel erneuerbare Energien gerade zu viel Strom produzieren, zu viel Wind weht oder zu viel Sonne scheint.']"
2,122,"['klimawandel', 'klimakrise', 'klimawandels', 'auswirkungen', 'krise', 'veränderungen', 'menschheit', 'klima', 'klimaveränderungen', 'erwärmung', 'klimaveränderung', 'zukunft']","['Wir reden heute nicht davon, ob es einen Klimawandel gibt oder nicht, sondern davon, ob die Starkwetterereignisse in Westdeutschland tatsächlich durch den Klimawandel verursacht worden sind oder nicht.', 'Es gibt nur eine Krise für die Menschheit für die Zukunft, und das ist der Klimawandel, meine Damen und Herren.', 'Manche Ideen brauchen viel Zeit, um sich durchzusetzen – Zeit, die wir heute im Angesicht der Klimakrise nicht mehr haben.']"
3,93,"['kohleausstieg', '2038', '2030', 'strukturwandel', 'beschlossen', 'kohleausstiegs', 'vorzuziehen', 'kohlekompromiss', 'automobilindustrie', 'braunkohleausstiegs', 'region', 'brauchen']","['Der Kohleausstieg wird wie beschlossen kommen, spätestens 2038, möglicherweise auch früher.', 'Sie gegen grüne Forderungen, den Kohleausstieg in Sachsen auf das Jahr 2030 vorzuziehen.', 'Deutschland hat den Kohleausstieg spätestens zum Jahr 2038 beschlossen.']"
4,68,"['energie', 'klimabilanzierung', 'klimaschutz', 'klimapolitik', 'wirtschaftlich', 'macht', 'weltklima', 'auseinandergehen', 'kommunaler', 'unerreichbar', 'landesweit', 'energiedialogen']","['Nach Auffassung unserer Fraktion ist eine isolierte Energie- und Klimabilanz auf kommunaler Ebene nicht notwendig, da die Energie- und Klimabilanzierung bereits bundes- und landesweit durchgeführt wird.', 'Während Energiedialogen im Hinblick auf einen effizienten, wirtschaftlich vorteilhaften Ressourceneinsatz noch ein gewisser Nutzen abgewonnen werden kann – wobei die Ansichten über zukunftsfähige Energieversorgung weit auseinandergehen –, liegt dies bei Themen der Klimaanpassung unzureichend vor.', 'Während Energiedialogen im Hinblick auf einen effizienten, wirtschaftlich vorteilhaften Ressourceneinsatz noch ein gewisser Nutzen abgewonnen werden kann – wobei die Ansichten über zukunftsfähige Energieversorgung weit auseinandergehen –, liegt dies bei Themen der Klimaanpassung unzureichend vor.']"
5,52,"['co2', 'wälder', 'wichtig', 'wäldern', 'bauen', 'klimaschutz', 'bevölkerungsschutz', 'waldumbaus', 'hochwasserschutzes', 'ruanda', 'bewirtschaftung', 'windräder']","['Ferner möchte ich an dieser Stelle kurz die Brücke zum Wärmesektor schlagen und dazu besonders auf den nachwachsenden Rohstoff Holz verweisen, der mit 20 bis 30 Jahren sicherlich einen relativ kurzen Kreislauf, was die CO2-Bindung und Wiederfreisetzung betrifft, umfasst.', 'Um das Bauen mit Holz zu stärken, bedarf es zudem weiterer Fördermöglichkeiten, welche die Leistungen für den Baustoff Holz im Bereich des Klimaschutzes anerkennen.', 'Aber natürlich hat Waldfläche auch eine sekundäre Klimaschutzfunktion, nämlich wenn man darüber nachdenkt, auf bestimmten Flächen Windräder aufzustellen, die dann als Alternative zu fossilen Brennstoffen zu verstehen sind und damit zum Klimaschutz beitragen und folglich die Auswirkungen von Klimawandel, zum Beispiel Dürren oder schwere Stürme, die den Wald auch schädigen, reduzieren.']"
6,52,"['klimaschutzgesetz', 'bundesverfassungsgericht', 'bundesverfassungsgerichts', 'klimabeschluss', 'gesetzgeber', 'bundesklimaschutzgesetz', 'staatsziel', '2019', 'verfassung', 'klimaschutzgesetzen', 'klimabeamte', 'klimadaten']","['Hier geht es wieder um das Klimaschutzgesetz.', 'Das Bundesverfassungsgericht hat daher kürzlich zu Recht das Bundesklimaschutzgesetz kassiert, weil es eben zu vage ist, weil es zu unkonkret ist und weil es für den Klimaschutz zu spät zu erreichende Ziele formuliert hat.', 'Das Bundesverfassungsgericht hat daher kürzlich zu Recht das Bundesklimaschutzgesetz kassiert, weil es eben zu vage ist, weil es zu unkonkret ist und weil es für den Klimaschutz zu spät zu erreichende Ziele formuliert hat.']"
7,38,"['konkrete', 'fortschrittsbericht', 'maßnahmen', 'voranzubringen', 'klimaschutzziele', 'klimaschutzgesetz', 'einfluss', 'klimaschutz', 'transformationsverein', 'vorankommen', 'vorlegen', 'petitionen']","['Deswegen bitte ich Sie, nachher die Möglichkeit zu nutzen, unsere Änderungsanträge anzunehmen, damit wir wenigstens beim Thema Klimaschutz noch etwas schneller vorankommen.', 'Wenn wir also konkrete Forderungen und Ziele im Klimaschutzgesetz haben und beispielsweise fordern, dass die Treibhausgasemissionen bis zum Jahr x um soundso viel Prozent sinken sollen, dann führt dies teilweise zu drastischen Maßnahmen.', 'Wenn wir also konkrete Forderungen und Ziele im Klimaschutzgesetz haben und beispielsweise fordern, dass die Treibhausgasemissionen bis zum Jahr x um soundso viel Prozent sinken sollen, dann führt dies teilweise zu drastischen Maßnahmen.']"
8,37,"['soziale', 'klimaschutz', 'gerechtigkeit', 'wirtschaft', 'sozial', 'klimagerechtigkeit', 'anpassen', 'integrationspolitik', 'sozialen', 'paradigmenwechsel', 'gesellschaftlicher', 'vorzunehmen']","['Dabei müssen wir Soziales, Wirtschaft und Klimaschutz zusammen denken.', 'Wir finden, es ist möglich, Klimaschutz und soziale Gerechtigkeit zusammenzubringen.', 'Wir müssen das Soziale, die Wirtschaft und den Klimaschutz zusammen denken, wir müssen Stadt und Land zusammen denken und zusammenbringen.']"
