Topic,Count,Representation
-1,4670,"['co2', 'klimaschutz', 'klima', 'bundesregierung', 'klimawandel', 'klimapolitik', 'müssen', 'emissionen', 'klimakrise', 'euro', 'energiewende', 'thema']"
0,459,"['deutschland', 'deutsche', 'deutschen', 'deutschlands', 'energiewende', 'bundesrepublik', 'klimaschutz', 'klimaschutzziele', 'europa', 'klimaziel', 'klimapolitik', 'wirtschaftsstandort']"
1,419,"['kohleausstieg', 'kohleausstiegsgesetz', 'kohleausstiegs', 'kohlekommission', 'strukturwandel', '2038', 'kommission', 'beschließen', 'bundesregierung', 'atomausstieg', 'versorgungssicherheit', 'kohleausstiegskommission']"
2,221,"['energiewende', 'bürgerinnen', 'erneuerbaren', 'erfolg', 'energien', 'führen', 'power', 'bürger', 'einkommensschwachen', 'agrarwende', 'gemeinsam', 'nutzen']"
3,216,"['mobilität', 'klimafreundliche', 'verkehrswende', 'klimafreundlichen', 'verkehr', 'verkehrspolitik', 'klimaschutzziele', 'klimafreundlich', 'verkehrssektor', 'mobilitätswende', 'klimafreundlicher', 'elektromobilität']"
4,185,"['klimaschutz', 'wichtig', 'brauchen', 'maßnahmen', 'müssen', 'umweltschutz', 'schützen', 'klima', 'echter', 'dauerreparaturmodus', 'gemeinschaftsaufgabe', 'freiheit']"
5,170,"['klimaschutzgesetz', 'grundgesetz', 'klimaschutzgesetzes', 'gesetzlich', 'verabschiedet', 'gesetz', 'entwurf', 'gesetzentwurf', 'änderung', 'jahr', 'klimagesetz', 'klimaschutzpaket']"
6,166,"['wälder', 'wäldern', 'waldumbau', 'co2', 'mischwälder', 'forstwirtschaft', 'klimaretter', 'hektar', 'mischwäldern', 'naturnahen', 'abgeholzt', 'klimaschutzleistung']"
7,136,"['europa', 'europäische', 'union', 'europäischen', 'europas', 'europäischer', 'kommission', 'klimaschutz', 'menschenrechte', 'green', 'sicherheitspolitik', 'klimapolitik']"
8,135,"['energiewende', 'energieerzeugung', 'system', 'kosten', 'gescheitert', 'ideologie', 'subventioniert', 'kontraproduktiv', 'überflüssig', 'scheitert', 'betriebene', 'armutszeugnis']"
9,128,"['bepreisung', 'co2', 'atmosphäre', 'luft', 'geblasen', 'müllhalde', 'herausholen', 'ausstoßen', 'zukünftig', 'preis', 'packen', 'überlegen']"
10,124,"['leugnen', 'klimawandel', 'klimaleugner', 'zeugt', 'menschengemachten', 'sagen', 'klimaschutz', 'trump', 'falsche', 'bewusst', 'politik', 'klimawandelleugnern']"
11,121,"['rede', 'debatte', 'gesagt', 'klimaschutz', 'antrag', 'klimapolitik', 'angesprochen', 'sagen', 'gesprochen', 'debatten', 'klimaforschern', 'klimaexperte']"
12,113,"['reduzieren', 'emissionen', 'co2', 'reduktion', 'einsparen', 'sparen', 'einzusparen', 'reduzierung', 'nachhaltig', 'einsparung', 'vermindern', 'verringern']"
13,111,"['emissionshandel', 'europäischen', 'emissionshandels', 'sektoren', 'europäische', 'emissionshandelssystem', 'reform', 'ausweitung', 'europa', 'emissionshandelsrichtlinie', 'emissionshandelssystems', 'mitgliedstaaten']"
14,102,"['kosten', 'geld', 'ausgeben', 'folgekosten', 'klimapolitik', 'klima', 'klimaschutz', 'sozialversicherung', 'verfehlung', 'zurückzustellen', 'nichthandelns', 'umweltverschmutzung']"
15,102,"['gerechtigkeit', 'gemeinsam', 'soziale', 'menschen', 'klimabewegung', 'klimagerechtigkeit', 'klimaschutz', 'gewerkschaften', 'bürger', 'bürgerinnen', 'solidarisch', 'verantwortung']"
16,98,"['2050', 'klimaneutral', 'klimaneutralität', 'klimaneutrale', 'treibhausgasneutralität', 'neutralität', '2045', 'wirtschaft', 'neutral', 'jahr', 'treibhausgasneutral', 'fahrplan']"
17,98,"['digitalisierung', 'herausforderungen', 'klimawandel', 'klimakrise', 'wirtschaft', 'künstliche', 'infrastruktur', 'digitalen', 'digitale', 'fortschritt', 'klimaschonenden', 'gesellschaftlichen']"
18,95,"['verkehrswende', 'radverkehr', 'öffentlichen', 'bus', 'mobilität', 'verkehrssicherheit', 'personennahverkehr', 'verkehr', 'gesundheitsschutz', 'kommunen', 'verkehrskollaps', 'eisenbahn']"
19,91,"['euro', 'milliarden', 'klimafonds', 'energie', '80', 'klimaschutzinitiative', 'jahr', 'ausgaben', '50', 'subventionen', 'projekte', '2023']"
20,90,"['emissionshandel', 'ausweitung', 'emissionshandels', 'emissionshandelssystem', 'verkehr', 'brennstoffemissionshandel', 'zertifikaten', 'sektoren', 'brennstoffemissionshandelsgesetz', 'wirtschaftssektoren', 'handel', 'industriestaaten']"
21,90,"['wirtschaft', 'arbeitsplätze', 'klimaschutz', 'ökologie', 'wohlstand', 'wirtschaftliche', 'schützen', 'ökonomie', 'zusammenbringen', 'politik', 'arbeit', 'soziale']"
22,86,"['klimakrise', 'bekämpfen', 'klimakatastrophe', 'klimawandel', 'müssen', 'fiktion', 'bekämpfung', 'menschen', 'einzudämmen', 'entgegentreten', 'klimawandels', 'priorität']"
23,84,"['erreichen', 'klimaschutzziele', 'ehrgeizige', 'klimaziel', 'tatsächlich', 'ambitionierten', 'erfolgreich', 'planeten', 'klimaschutzziel', 'sonderausschreibungen', 'vereinbarten', 'müssen']"
24,78,"['konflikte', 'klimaflüchtlinge', 'menschen', 'klimakrise', 'migration', 'klimawandel', 'gewalt', 'armutsrisiko', 'naturkatastrophen', 'klimawandels', 'krieg', 'armut']"
25,75,"['preis', 'co2', 'wirksamen', 'müssen', 'preisschild', 'bezahlen', 'belange', 'überlegen', 'brauchen', 'marktwirtschaftlichen', 'gesetz', 'grund']"
26,75,"['steuer', 'co2', 'bepreisung', 'ungerecht', 'verfassungskonform', 'falsche', 'juristen', 'diskussion', 'verfassungswidrig', 'trump', 'europäischen', 'gesetz']"
27,75,"['pariser', 'klimaschutzabkommen', 'paris', 'klimaabkommen', '2015', 'klimaabkommens', 'einstimmig', 'unterzeichnet', 'abkommen', 'nachhaltigkeitszielen', 'klimaschutzvertrag', 'verbindlich']"
28,74,"['deutschland', 'weltklima', 'co2', 'weltweiten', 'hätte', 'theoretische', 'emissionen', 'deutschen', 'deutsche', 'verbrauchen', 'nachbarländern', 'deutschlands']"
29,74,"['landwirtschaft', 'agrarpolitik', 'forstwirtschaft', 'tierhaltung', 'landwirten', 'tierschutz', 'artenschutz', 'lebensbedingungen', 'peru', 'bevölkerungsentwicklung', 'bedroht', 'landwirtinnen']"
30,73,"['klimawandel', 'menschengemachten', 'menschengemacht', 'menschgemachten', 'jahrtausenden', 'wissenschaft', 'klimaschwankungen', 'fakt', 'einfluss', 'klimawandels', 'erderhitzung', 'wissenschaftlich']"
31,72,"['afrika', 'zusammenarbeit', 'entwicklungszusammenarbeit', 'länder', 'international', 'internationaler', 'ländern', 'armut', 'schwellenländern', 'globalen', 'weltweit', 'klimawandel']"
32,69,"['diesel', 'verbrennungsmotoren', 'fahrzeuge', 'autos', 'fahrzeugen', 'klimaneutral', 'kraftstoffen', 'verbrennungsmotor', 'synthetische', 'fuels', 'co2', 'verbrennungstechnologie']"
33,66,"['innovation', 'innovationen', 'ideen', 'forschung', 'innovative', 'technologien', 'technologie', 'fördern', 'entwicklung', 'klimaschutz', 'innovationsklima', 'anreizen']"
34,63,"['pariser', '2020', '2030', 'klimaabkommen', 'klimaschutzziele', 'einigung', 'klimaschutzziel', '2038', 'kohärente', 'klimaschutzabkommen', '2050', 'bundesregierung']"
35,62,"['energien', 'erneuerbaren', 'erneuerbare', 'energiewende', 'erreichen', 'energiepolitik', 'technologien', 'synthetische', 'ausbaupfad', 'ressourcen', 'energie', 'ausbauen']"
36,62,"['bauen', 'wohnen', 'wohnungsbau', 'wohnungen', 'klimakomponente', 'sanieren', 'gebäudesektor', 'gebäude', 'bauens', 'klimagerechtes', 'klimaanlagen', 'klimaschutz']"
37,60,"['herausforderung', 'herausforderungen', 'klimawandel', 'globale', 'global', 'menschheit', 'generation', 'klimafrage', 'jahrhunderts', 'größten', 'globales', 'menschheitsfrage']"
38,60,"['2030', '2020', '2050', 'klimaschutzplan', 'klimaziel', 'klimaschutzprogramm', 'erreichen', 'schnell', 'klimaziels', 'klimaschutzziele', 'transformation', 'gigawatt']"
